67720.0,67760.0,67780.0
,,0.197
,,1.7830000000000001
,,0.264
,,0.47800000000000004
0.091,,0.016
0.011,,0.409
,0.008,0.126
0.003,0.017,0.088
0.003,0.02,0.058
,,0.074
