1704259500000,45253.53000000,45253.58000000,45253.53000000,45253.57000000,3.74685000,1704259559999,169558.26913030,287,2.45286000,111000.63155160,0
1704259560000,45253.57000000,45268.63000000,45253.57000000,45268.62000000,7.45625000,1704259619999,337450.39639100,524,5.03007000,227652.52223430,0
1704259620000,45268.62000000,45279.99000000,45268.62000000,45279.99000000,17.37222000,1704259679999,786522.60378860,625,10.57096000,478584.80246670,0
1704259680000,45279.98000000,45290.88000000,45279.98000000,45280.00000000,13.79024000,1704259739999,624492.14464690,632,7.75935000,351366.10881970,0
1704259740000,45280.01000000,45289.06000000,45280.00000000,45289.06000000,8.39724000,1704259799999,380263.16996010,455,4.62116000,209262.68645950,0
1704259800000,45289.06000000,45293.05000000,45227.78000000,45227.78000000,20.95349000,1704259859999,948668.84926440,1295,3.90516000,176847.09485880,0
1704259860000,45227.78000000,45286.85000000,45227.78000000,45274.92000000,27.63373000,1704259919999,1250684.19559180,853,19.33339000,874971.66394260,0
1704259920000,45274.92000000,45283.10000000,45274.91000000,45281.20000000,11.68849000,1704259979999,529257.41231040,374,7.64918000,346349.45834820,0
1704259980000,45281.20000000,45281.21000000,45263.19000000,45274.76000000,13.23145000,1704260039999,599076.26285850,530,6.25491000,283208.47463990,0
1704260040000,45274.76000000,45287.42000000,45274.76000000,45279.35000000,14.46929000,1704260099999,655210.92059350,508,9.77597000,442672.80223800,0
1704260100000,45279.35000000,45287.03000000,45269.29000000,45269.34000000,14.93577000,1704260159999,676262.65867840,764,7.51532000,340282.28781930,0
1704260160000,45269.33000000,45286.01000000,45269.33000000,45286.00000000,11.13228000,1704260219999,504022.75113290,736,8.24261000,373190.15353090,0
1704260220000,45286.00000000,45286.01000000,45285.14000000,45285.15000000,4.76300000,1704260279999,215696.23505340,395,2.86252000,129631.27144720,0
1704260280000,45285.14000000,45285.15000000,45281.53000000,45281.53000000,10.75155000,1704260339999,486855.58832760,407,1.13315000,51311.47033460,0
1704260340000,45281.54000000,45281.54000000,45263.27000000,45263.27000000,11.91234000,1704260399999,539304.43113150,506,2.00251000,90653.34911360,0
1704260400000,45263.27000000,45279.35000000,45263.27000000,45273.11000000,9.33627000,1704260459999,422670.23273350,565,6.38861000,289219.23369620,0
1704260460000,45273.11000000,45294.11000000,45273.11000000,45294.10000000,14.09389000,1704260519999,638196.02566100,505,12.94135000,586005.06138160,0
1704260520000,45294.10000000,45294.11000000,45263.52000000,45263.52000000,23.13978000,1704260579999,1047738.53399830,623,2.52504000,114327.34956870,0
1704260580000,45263.52000000,45263.53000000,45250.00000000,45250.01000000,9.54406000,1704260639999,431950.26092670,506,2.03750000,92212.93368230,0
1704260640000,45250.00000000,45250.01000000,45240.95000000,45240.95000000,6.21463000,1704260699999,281186.84424890,466,1.08937000,49293.03246630,0
1704260700000,45240.95000000,45240.96000000,45211.61000000,45211.62000000,13.22129000,1704260759999,598038.62100390,695,1.22371000,55344.58761980,0
1704260760000,45211.61000000,45231.00000000,45198.15000000,45231.00000000,22.02773000,1704260819999,995817.41945430,875,9.45793000,427571.50907460,0
1704260820000,45231.00000000,45246.39000000,45226.77000000,45246.39000000,11.10832000,1704260879999,502490.53800790,636,8.29986000,375447.01995380,0
1704260880000,45246.38000000,45269.94000000,45246.38000000,45269.94000000,5.71576000,1704260939999,258710.27839470,558,4.81947000,218138.85209350,0
1704260940000,45269.94000000,45269.94000000,45231.49000000,45231.50000000,22.55688000,1704260999999,1020848.81214300,921,1.35701000,61403.70873830,0
1704261000000,45231.50000000,45233.74000000,45198.59000000,45233.73000000,19.30526000,1704261059999,872904.59039230,1016,10.01922000,452987.01590110,0
1704261060000,45233.74000000,45233.74000000,45206.79000000,45221.77000000,8.84917000,1704261119999,400158.06820940,1149,3.39837000,153678.90509910,0
1704261120000,45221.77000000,45221.77000000,45206.14000000,45212.22000000,19.75788000,1704261179999,893291.36610860,906,10.76950000,486870.82665170,0
1704261180000,45212.23000000,45221.77000000,45211.10000000,45219.07000000,12.71139000,1704261239999,574730.15541530,588,10.14265000,458585.40173390,0
1704261240000,45219.06000000,45219.07000000,45211.42000000,45212.16000000,16.19492000,1704261299999,732230.37776350,455,1.41763000,64095.32208180,0
1704261300000,45212.15000000,45212.16000000,45202.86000000,45209.73000000,7.65143000,1704261359999,345910.04148760,547,3.08285000,139366.91649110,0
1704261360000,45209.74000000,45219.07000000,45209.68000000,45212.81000000,12.84832000,1704261419999,580912.19368090,679,4.16369000,188245.62545620,0
1704261420000,45212.80000000,45212.81000000,45192.99000000,45193.00000000,19.41043000,1704261479999,877439.86419190,615,2.69797000,121960.05273820,0
1704261480000,45192.99000000,45194.19000000,45167.57000000,45178.00000000,30.03173000,1704261539999,1356898.10186320,993,8.43353000,381006.50874940,0
1704261540000,45178.00000000,45178.00000000,45172.01000000,45172.13000000,10.04238000,1704261599999,453688.83100560,491,1.80884000,81719.16632720,0
1704261600000,45172.12000000,45204.00000000,45172.12000000,45194.36000000,25.13783000,1704261659999,1135825.03230000,978,18.90876000,854307.10497810,0
1704261660000,45194.37000000,45194.37000000,45175.21000000,45193.81000000,32.33921000,1704261719999,1461202.09590560,1040,17.59453000,794965.52904650,0
1704261720000,45193.81000000,45200.00000000,45178.00000000,45191.51000000,32.18607000,1704261779999,1454493.29185420,911,12.31064000,556251.75615490,0
1704261780000,45191.52000000,45195.65000000,45187.31000000,45192.13000000,10.98763000,1704261839999,496556.35116300,586,3.97961000,179844.13994830,0
1704261840000,45192.13000000,45202.94000000,45192.12000000,45202.94000000,20.23510000,1704261899999,914525.30959460,674,11.25925000,508862.54505060,0
1704261900000,45202.93000000,45208.16000000,45190.60000000,45202.08000000,42.26440000,1704261959999,1910370.92877470,1153,11.40841000,515629.31750230,0
1704261960000,45202.09000000,45206.85000000,45178.01000000,45206.85000000,30.73940000,1704262019999,1389179.05726150,1069,21.72939000,981962.31532890,0
1704262020000,45206.85000000,45206.85000000,45179.28000000,45179.28000000,25.76996000,1704262079999,1164660.29339550,761,3.14009000,141895.30921860,0
1704262080000,45179.29000000,45188.31000000,45178.00000000,45178.00000000,27.87874000,1704262139999,1259621.93946390,673,9.38260000,423917.95322600,0
1704262140000,45178.01000000,45178.01000000,45160.00000000,45170.63000000,39.34539000,1704262199999,1777200.62896280,748,13.80947000,623695.42501460,0
1704262200000,45170.64000000,45175.09000000,45163.19000000,45164.75000000,21.65377000,1704262259999,978054.77102220,690,15.42361000,696644.23315570,0
1704262260000,45164.75000000,45173.21000000,45164.74000000,45173.21000000,17.20115000,1704262319999,776958.52192090,475,14.98833000,677000.49716490,0
1704262320000,45173.20000000,45181.10000000,45164.74000000,45181.10000000,29.43286000,1704262379999,1329549.39955240,711,15.31944000,692012.14054620,0
1704262380000,45181.10000000,45200.00000000,45181.09000000,45200.00000000,14.28635000,1704262439999,645627.07180380,583,11.84731000,535389.55653890,0
1704262440000,45199.99000000,45204.02000000,45199.99000000,45204.02000000,7.73808000,1704262499999,349784.22916870,434,6.75999000,305570.87201100,0
1704262500000,45204.01000000,45217.28000000,45204.01000000,45217.28000000,19.84762000,1704262559999,897388.93288690,653,16.50711000,746342.99911830,0
1704262560000,45217.27000000,45217.28000000,45217.27000000,45217.28000000,9.77175000,1704262619999,441851.92858490,279,7.04624000,318611.80702720,0
1704262620000,45217.28000000,45221.77000000,45217.27000000,45221.76000000,11.82544000,1704262679999,534723.06477840,477,3.73624000,168950.73188860,0
1704262680000,45221.76000000,45258.24000000,45221.76000000,45258.24000000,24.33188000,1704262739999,1100783.25468670,820,19.72521000,892360.82816450,0
1704262740000,45258.23000000,45271.10000000,45258.23000000,45271.09000000,11.03632000,1704262799999,499569.83582460,481,8.52820000,386035.31842560,0
1704262800000,45271.09000000,45295.97000000,45271.09000000,45285.12000000,21.58271000,1704262859999,977440.69561820,945,10.70184000,484638.54732090,0
1704262860000,45285.12000000,45295.00000000,45285.11000000,45294.99000000,9.57138000,1704262919999,433467.31867540,683,6.71878000,304281.50237850,0
1704262920000,45295.00000000,45299.64000000,45289.33000000,45297.11000000,14.70999000,1704262979999,666287.49038240,683,9.69293000,439034.64331870,0
1704262980000,45297.12000000,45297.12000000,45271.11000000,45287.28000000,32.99786000,1704263039999,1494344.57670760,1026,12.57995000,569600.20543650,0
1704263040000,45287.27000000,45293.70000000,45287.27000000,45288.84000000,11.31667000,1704263099999,512520.49447470,429,7.56877000,342776.71350190,0
1704263100000,45288.85000000,45302.26000000,45288.84000000,45302.25000000,33.68638000,1704263159999,1525972.07654220,670,31.52756000,1428173.34725940,0
1704263160000,45302.26000000,45302.26000000,45274.56000000,45279.04000000,21.34201000,1704263219999,966575.58735560,712,2.29834000,104060.82788710,0
1704263220000,45279.05000000,45279.05000000,45278.96000000,45278.96000000,4.86655000,1704263279999,220352.58223420,305,3.23654000,146547.31688380,0
1704263280000,45278.96000000,45289.38000000,45278.96000000,45289.38000000,9.41800000,1704263339999,426521.13416980,485,2.86721000,129841.23069240,0
1704263340000,45289.38000000,45289.38000000,45286.32000000,45286.33000000,23.52220000,1704263399999,1065273.89581590,437,6.00516000,271953.39184530,0
1704263400000,45286.32000000,45286.33000000,45252.12000000,45252.12000000,25.10727000,1704263459999,1136691.72519060,902,1.50681000,68203.35042180,0
1704263460000,45252.12000000,45261.12000000,45252.12000000,45261.11000000,15.42840000,1704263519999,698201.30169550,534,10.87119000,491972.18439080,0
1704263520000,45261.11000000,45261.12000000,45254.05000000,45261.08000000,10.77217000,1704263579999,487539.50655320,516,4.64430000,210191.04425250,0
1704263580000,45261.08000000,45265.09000000,45257.77000000,45259.54000000,13.08327000,1704263639999,592183.70149750,512,6.86713000,310815.56335830,0
1704263640000,45259.55000000,45259.55000000,45250.00000000,45250.00000000,13.83372000,1704263699999,626082.67328370,493,3.19158000,144446.53388400,0
1704263700000,45250.01000000,45250.01000000,45218.31000000,45225.99000000,26.64386000,1704263759999,1205069.06578230,792,7.15951000,323767.88376090,0
1704263760000,45225.99000000,45229.28000000,45220.68000000,45220.74000000,15.98020000,1704263819999,722686.35762880,579,7.07939000,320156.28963480,0
1704263820000,45220.73000000,45221.74000000,45220.73000000,45221.74000000,6.27426000,1704263879999,283729.89411590,352,2.87181000,129866.46196740,0
1704263880000,45221.74000000,45275.67000000,45221.73000000,45275.67000000,36.83811000,1704263939999,1666919.67980120,959,34.79209000,1574312.99676030,0
