[2024-05-28 12:00:43,028] INFO [Broker id=0] Leader htx_api_perpetual_funding_btcfundperp-3 with topic id Some(NS-JZsTeTGSFUDJBl23Rzg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,051] INFO [Broker id=0] Leader okx_api_perpetual_oi_btcoifutureperp-1 with topic id Some(zANIEv4eTimAP90c99BsHA) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,052] INFO [Broker id=0] Leader gateio_api_perpetual_oi_btcoifutureperp-0 with topic id Some(VvFKVxgBQ9moDf-R5NlePA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,073] INFO [Broker id=0] Leader __consumer_offsets-46 with topic id Some(yi2oe6kcSyys27fbj0a4wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,094] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(yi2oe6kcSyys27fbj0a4wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,119] INFO [Broker id=0] Leader bitget_api_perpetual_funding_BTCfundperp-4 with topic id Some(I6ng1dW4SyqgompptqWlvA) starts at leader epoch 0 from offset 2 with partition epoch 0, high watermark 2, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,119] INFO [Broker id=0] Leader okx_api_perpetual_funding_btcfundperp-3 with topic id Some(RhRc5O0kR3qmxJvY45K3kQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,140] INFO [Broker id=0] Leader htx_api_perpetual_funding_btcfundperp-4 with topic id Some(NS-JZsTeTGSFUDJBl23Rzg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,161] INFO [Broker id=0] Leader okx_api_perpetual_oi_btcoifutureperp-0 with topic id Some(zANIEv4eTimAP90c99BsHA) starts at leader epoch 0 from offset 8 with partition epoch 0, high watermark 8, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,161] INFO [Broker id=0] Leader htx_api_perpetual_gta_btcposfutureperp-2 with topic id Some(QqxxyN-lSAyAA3tHerdHqw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
